"Date","Order ID","Type","Detail","Item ID","Document","Price","AU GST","AU RWT","EU VAT","US Sales Tax","US RWT","US BWT","Amount","Site","Other Party Country","Other Party Region","Other Party City","Other Party Zipcode"
"2017-10-23 20:05:25 +1100","69664859","Purchase","Residence Real Estate WordPress Theme (6 months included support)","7896392","IVIP21228828","17.63","","","","","","","-17.63","ThemeForest","","","",""
"2017-10-23 20:05:25 +1100","69664859","Purchase","Residence Real Estate WordPress Theme (Regular License)","7896392","IVIP21228828","29.37","","","","","","","-29.37","ThemeForest","","","",""
"2017-10-23 20:05:25 +1100","69664859","Purchase","Buyer Fee for Residence Real Estate WordPress Theme","7896392","IVBF21132797","12.00","","","","","","","-12.00","","","","",""
"2017-10-23 20:05:25 +1100","69664859","Purchase","Handling fee for order 69664859","","IVHF10664520","2.00","","","","","","","-2.00","","","","",""
"2017-10-23 20:05:25 +1100","","Envato Credit","Envato Credit via PayPal","","RCD14200600","","","","","","","","61.00","","","","",""
"2017-07-17 16:02:10 +1000","63305745","Purchase","Modern Team Showcase WordPress Plugin (6 months included support)","12173695","IVIP19253759","5.63","","","","","","","-5.63","CodeCanyon","","","",""
"2017-07-17 16:02:10 +1000","63305745","Purchase","Modern Team Showcase WordPress Plugin (Regular License)","12173695","IVIP19253759","9.37","","","","","","","-9.37","CodeCanyon","","","",""
"2017-07-17 16:02:10 +1000","63305745","Purchase","Buyer Fee for Modern Team Showcase WordPress Plugin","12173695","IVBF19172942","4.00","","","","","","","-4.00","","","","",""
"2017-07-17 16:02:10 +1000","63305745","Purchase","Handling fee for order 63305745","","IVHF9501442","2.00","","","","","","","-2.00","","","","",""
"2017-07-17 16:02:10 +1000","","Envato Credit","Envato Credit via PayPal","","RCD12775086","","","","","","","","21.00","","","","",""
"2017-07-12 04:36:41 +1000","62976243","Purchase","Floatton | WordPress Floating Action Button with Pop-up Contents for Forms or any Custom Contents (6 months included support)","17199748","IVIP19153814","5.63","","","","","","","-5.63","CodeCanyon","","","",""
"2017-07-12 04:36:41 +1000","62976243","Purchase","Floatton | WordPress Floating Action Button with Pop-up Contents for Forms or any Custom Contents (Regular License)","17199748","IVIP19153814","9.37","","","","","","","-9.37","CodeCanyon","","","",""
"2017-07-12 04:36:41 +1000","62976243","Purchase","Buyer Fee for Floatton | WordPress Floating Action Button with Pop-up Contents for Forms or any Custom Contents","17199748","IVBF19073743","4.00","","","","","","","-4.00","","","","",""
"2017-07-12 04:36:41 +1000","62976243","Purchase","Handling fee for order 62976243","","IVHF9442681","2.00","","","","","","","-2.00","","","","",""
"2017-07-12 04:36:40 +1000","","Envato Credit","Envato Credit via PayPal","","RCD12702832","","","","","","","","21.00","","","","",""
"2017-07-06 23:02:28 +1000","62654856","Purchase","Woocommerce Tax Manager - WTM (6 months included support)","17357403","IVIP19055655","6.00","","","","","","","-6.00","CodeCanyon","","","",""
"2017-07-06 23:02:28 +1000","62654856","Purchase","Woocommerce Tax Manager - WTM (Regular License)","17357403","IVIP19055655","10.00","","","","","","","-10.00","CodeCanyon","","","",""
